question,answer_a,answer_b,answer_c,answer_correct,media,category
Are you obliged to stop the vehicle in the presented situation?,,,,Tak,AK_D05_06_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to stop the vehicle in the presented situation?,,,,Tak,AK_D10_30_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you continue driving in this situation?,,,,Nie,AK_D11_43org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to turn right despite the light displayed?,,,,Nie,AK_D11_45org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
What should be the safe following distance between columns of lorries?,Not less than 800 metres.,Not less than 500 metres.,Not less than 200 metres.,B,,C
You are driving a lorry. Which of the following factors should you take into account to keep a safe distance from the vehicle in front?,Speed of the vehicles.,Power of the engine.,Width of the vehicles.,A,,C
Are you allowed to make a U-turn on a roadway with this sign?,,,,Nie,IMG_4251orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, should you expect that the next light will be green?",,,,Tak,3106D15_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
In the presented situation are you allowed to turn right without stopping before the traffic lights?,,,,Nie,0118D14MM_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the light signal for you lane allow for making a U-turn in this situation?,,,,Nie,2064D14MM_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the traffic light displayed in this situation denote that when turning right there is no collision with other road users?,,,,Tak,066D16_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the traffic light displayed in this situation allow you to drive beyond the traffic light post?,,,,Nie,IMG_0325_9550d5_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn right in this situation if you do not cause impediments to traffic?,,,,Nie,0084D18_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to change the lane you are taking when you intend to go straight?,,,,Tak,IMG_9324_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you expect cyclists coming from the opposite direction on this road?,,,,Tak,4152D15Xorg.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to drive onto the lane on the left?,,,,Nie,4170D15_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Does this horizontal sign define a place of obligatory stop, even if there is no vehicle approaching from either side?",,,,Tak,D16_01_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Does this dashed line in this situation indicate a place to stop because of the ""stop"" sign?",,,,Nie,D16_05_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Does this solid line in this situation indicate a place to stop because of the ""stop"" sign?",,,,Tak,D16_06_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to make a U-turn at this intersection. Are you taking the proper lane?,,,,Tak,MM_D14_15_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"You are turning left at the intersection. After entering the crosswise road, do the horizontal signs allow you to take the lane by the right edge of the roadway?",,,,Tak,MM_D14_17_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this place to turn left and drive into the petrol station?,,,,Nie,MM_D14_24_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the line composed of triangles indicate the place to stop your vehicle in order to give the right of way?,,,,Tak,MM_D14_29_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn left to the parking space in the place marked in such a way?,,,,Nie,MM_D14_34_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to take a rest. Are you allowed in this place to turn left to the parking space?,,,,Nie,MM_D14_38_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn left from the lane you are occupying?,,,,Nie,MM_D14_42_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
